trade_id,date,position_type,tradingsymbol,strike,expiry,quantity,entry_time,exit_time,entry_price,exit_price,entry_spot,exit_spot,exit_reason,gross_pnl,net_pnl
24,2026-07-14,SHORT_PE,NIFTY_1300_PE,1300,2026-07-14,65,2026-07-14 10:45:00,2026-07-14 12:25:00,10.435200000000002,13.48520000000007,1304.4,1298.3,SUPERTREND_FLIP_BEARISH,-198.25000000000443,-199.09621667068043
25,2026-07-14,SHORT_CE,NIFTY_1300_CE,1300,2026-07-14,65,2026-07-14 14:10:00,2026-07-14 15:15:00,10.3336,9.433600000000023,1291.7,1289.9,EOD_FORCED_SQUARE_OFF,58.49999999999852,57.82516457983052
26,2026-07-15,SHORT_PE,NIFTY_1300_PE,1300,2026-07-15,65,2026-07-15 09:25:00,2026-07-15 12:35:00,10.4424,13.392399999999931,1305.3,1299.4,SUPERTREND_FLIP_BEARISH,-191.74999999999557,-192.59255149320757
27,2026-07-16,SHORT_PE,NIFTY_1300_PE,1300,2026-07-16,65,2026-07-16 09:40:00,2026-07-16 13:35:00,10.4632,13.7132,1307.9,1301.4,SUPERTREND_FLIP_BEARISH,-211.25,-212.106469631316
28,2026-07-17,SHORT_PE,NIFTY_1300_PE,1300,2026-07-17,65,2026-07-17 09:15:00,2026-07-17 13:55:00,10.472,6.371999999999977,1309.0,1317.2,SUPERTREND_FLIP_BEARISH,266.5000000000015,265.9487917616415
29,2026-07-17,SHORT_PE,NIFTY_1300_PE,1300,2026-07-17,65,2026-07-17 14:20:00,2026-07-17 15:15:00,10.588799999999999,9.288799999999931,1323.6,1326.2,EOD_FORCED_SQUARE_OFF,84.50000000000443,83.82421967806043
30,2026-07-20,SHORT_PE,NIFTY_1350_PE,1350,2026-07-20,65,2026-07-20 09:25:00,2026-07-20 14:10:00,10.728,18.578000000000024,1341.0,1325.3,SUPERTREND_FLIP_BEARISH,-510.2500000000016,-511.3161497051416
31,2026-07-21,SHORT_CE,NIFTY_1300_CE,1300,2026-07-21,65,2026-07-21 12:25:00,2026-07-21 15:15:00,10.4792,7.279199999999955,1309.9,1303.5,EOD_FORCED_SQUARE_OFF,208.00000000000296,207.41084224910696
32,2026-07-22,SHORT_CE,NIFTY_1300_CE,1300,2026-07-22,65,2026-07-22 09:30:00,2026-07-22 15:15:00,10.356,8.606,1294.5,1291.0,EOD_FORCED_SQUARE_OFF,113.75,113.10899304822
33,2026-07-23,SHORT_CE,NIFTY_1300_CE,1300,2026-07-23,65,2026-07-23 12:35:00,2026-07-23 15:15:00,10.2144,8.014400000000068,1276.8,1272.4,EOD_FORCED_SQUARE_OFF,142.99999999999557,142.38748005892356
34,2026-07-24,SHORT_CE,NIFTY_1250_CE,1250,2026-07-24,65,2026-07-24 09:30:00,2026-07-24 11:15:00,10.1112,17.311199999999932,1263.9,1278.3,SUPERTREND_FLIP_BULLISH,-467.99999999999557,-468.99658451505155
35,2026-07-28,SHORT_CE,NIFTY_1250_CE,1250,2026-07-28,65,2026-07-28 09:25:00,2026-07-28 15:15:00,10.195200000000002,6.545199999999911,1274.4,1267.1,EOD_FORCED_SQUARE_OFF,237.2500000000059,236.69914480352992
36,2026-07-29,SHORT_PE,NIFTY_1300_PE,1300,2026-07-29,65,2026-07-29 09:30:00,2026-07-29 15:15:00,10.2104,10.760399999999954,1276.3,1275.2,EOD_FORCED_SQUARE_OFF,-35.749999999997044,-36.476684621049046
37,2026-07-30,SHORT_PE,NIFTY_1300_PE,1300,2026-07-30,65,2026-07-30 10:00:00,2026-07-30 15:15:00,10.2624,5.362400000000022,1282.8,1292.6,EOD_FORCED_SQUARE_OFF,318.4999999999985,317.9965311116865
38,2026-07-31,SHORT_PE,NIFTY_1300_PE,1300,2026-07-31,65,2026-07-31 12:50:00,2026-07-31 15:15:00,10.4248,8.024799999999908,1303.1,1307.9,EOD_FORCED_SQUARE_OFF,156.0000000000059,155.38130025538192
