symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
ICICIBANK,orb_vwap,MIS,2026-06-11 09:35:00,2026-06-11 14:50:00,1302.7,1316.5,23,317.4,285.42,5.32,vwap_cross
MUTHOOTFIN,orb_vwap,MIS,2026-06-11 09:40:00,2026-06-11 11:30:00,2877.0,2878.5,10,15.0,-15.52,0.06,vwap_cross
SRF,orb_vwap,MIS,2026-06-11 09:55:00,2026-06-11 11:20:00,2692.3,2698.2,11,-64.9,-96.35,-0.54,vwap_cross
TORNTPHARM,orb_vwap,MIS,2026-06-11 10:10:00,2026-06-11 15:00:00,4540.7,4564.7,6,144.0,115.02,0.92,vwap_cross
PERSISTENT,orb_vwap,MIS,2026-06-11 10:25:00,2026-06-11 13:15:00,4891.5,4834.0,6,-345.0,-375.9,-0.66,vwap_cross
M&MFIN,orb_vwap,MIS,2026-06-11 10:55:00,2026-06-11 14:25:00,269.35,271.3,111,-216.45,-248.29,-0.83,vwap_cross
TATAPOWER,orb_vwap,MIS,2026-06-11 10:55:00,2026-06-11 15:15:00,389.35,390.5,77,-88.55,-120.4,-0.36,forced_close
M&M,orb_vwap,MIS,2026-06-11 11:40:00,2026-06-11 15:15:00,2972.9,3001.3,10,284.0,252.29,0.74,forced_close
ONGC,orb_vwap,MIS,2026-06-11 12:05:00,2026-06-11 15:15:00,252.85,252.75,118,11.8,-19.83,0.06,forced_close
INDHOTEL,orb_vwap,MIS,2026-06-11 15:00:00,2026-06-11 15:15:00,655.25,654.85,45,18.0,-13.26,0.1,forced_close
HCLTECH,orb_vwap,MIS,2026-06-11 15:25:00,2026-06-11 15:25:00,1113.9,1113.9,26,0.0,-30.71,0.0,eod_data_end
ICICIAMC,orb_vwap,MIS,2026-06-12 09:30:00,2026-06-12 15:15:00,3258.0,3249.9,9,72.9,41.85,0.26,vwap_cross
INDIGO,orb_vwap,MIS,2026-06-12 09:30:00,2026-06-12 09:55:00,4661.3,4646.6,6,-88.2,-117.8,-0.65,vwap_cross
PNB,orb_vwap,MIS,2026-06-12 09:35:00,2026-06-12 10:20:00,104.85,105.44,286,-168.74,-200.65,-0.8,vwap_cross
TMCV,orb_vwap,MIS,2026-06-12 09:35:00,2026-06-12 12:40:00,370.65,371.05,80,32.0,0.53,0.11,vwap_cross
ICICIGI,orb_vwap,MIS,2026-06-12 09:40:00,2026-06-12 10:35:00,1681.9,1692.5,17,-180.2,-210.64,-0.79,vwap_cross
SOLARINDS,orb_vwap,MIS,2026-06-12 09:55:00,2026-06-12 11:15:00,17300,17375,1,-75,-93.39,-0.51,vwap_cross
MARUTI,orb_vwap,MIS,2026-06-12 10:25:00,2026-06-12 13:35:00,13216,13277,2,-122,-150.11,-0.59,vwap_cross
CHOLAFIN,orb_vwap,MIS,2026-06-12 10:40:00,2026-06-12 12:20:00,1488.7,1498.7,20,-200.0,-231.7,-0.84,vwap_cross
APLAPOLLO,orb_vwap,MIS,2026-06-12 11:10:00,2026-06-12 14:10:00,1780.0,1781.3,16,-20.8,-51.01,-0.12,vwap_cross
HINDPETRO,orb_vwap,MIS,2026-06-12 12:05:00,2026-06-12 13:30:00,373.15,376.35,80,-256.0,-287.82,-0.85,vwap_cross
SUPREMEIND,orb_vwap,MIS,2026-06-12 12:40:00,2026-06-12 14:40:00,3454.0,3487.0,8,-264.0,-293.47,-0.85,vwap_cross
DABUR,orb_vwap,MIS,2026-06-12 12:45:00,2026-06-12 14:00:00,420.85,424.15,71,-234.3,-266.14,-1.03,vwap_cross
MOTILALOFS,orb_vwap,MIS,2026-06-12 13:35:00,2026-06-12 15:15:00,882.7,888.75,33,199.65,168.63,0.51,forced_close
LT,orb_vwap,MIS,2026-06-12 14:10:00,2026-06-12 15:15:00,4013.8,4049.4,7,249.2,219.25,0.8,forced_close
BPCL,orb_vwap,MIS,2026-06-12 14:15:00,2026-06-12 15:15:00,299.85,302.1,100,225.0,193.06,0.65,forced_close
360ONE,orb_vwap,MIS,2026-06-15 09:30:00,2026-06-15 09:35:00,1125.6,1119.8,26,-150.8,-181.74,-1.44,vwap_cross
AUBANK,orb_vwap,MIS,2026-06-15 09:30:00,2026-06-15 11:05:00,1029.9,1036.7,29,-197.2,-229.0,-0.6,vwap_cross
AXISBANK,orb_vwap,MIS,2026-06-15 09:30:00,2026-06-15 10:45:00,1364.3,1368.8,21,-94.5,-124.94,-0.82,vwap_cross
BPCL,orb_vwap,MIS,2026-06-15 09:30:00,2026-06-15 15:15:00,311.2,311.0,96,19.2,-12.47,0.07,forced_close
BSE,orb_vwap,MIS,2026-06-15 09:30:00,2026-06-15 10:35:00,4165.0,4135.0,7,-210.0,-240.78,-0.51,vwap_cross
DLF,orb_vwap,MIS,2026-06-15 09:30:00,2026-06-15 09:40:00,604.65,600.6,49,-198.45,-229.74,-1.43,vwap_cross
GODREJPROP,orb_vwap,MIS,2026-06-15 09:30:00,2026-06-15 09:40:00,1762.8,1751.7,17,-188.7,-220.36,-1.0,vwap_cross
GROWW,orb_vwap,MIS,2026-06-15 09:30:00,2026-06-15 15:15:00,203.24,207.16,147,576.24,544.19,2.37,forced_close
HINDPETRO,orb_vwap,MIS,2026-06-15 09:30:00,2026-06-15 10:55:00,401.55,406.85,74,-392.2,-423.96,-1.61,vwap_cross
TMCV,orb_vwap,MIS,2026-06-15 09:30:00,2026-06-15 10:50:00,407.7,413.85,73,-448.95,-480.8,-0.76,vwap_cross
TMPV,orb_vwap,MIS,2026-06-15 09:30:00,2026-06-15 09:45:00,406.5,403.4,73,-226.3,-257.62,-1.01,vwap_cross
BAJAJ-AUTO,orb_vwap,MIS,2026-06-15 09:35:00,2026-06-15 09:50:00,10045.0,10087.0,2,-84.0,-105.36,-0.98,vwap_cross
BAJAJFINSV,orb_vwap,MIS,2026-06-15 09:35:00,2026-06-15 13:05:00,1749.2,1750.3,17,18.7,-12.85,0.09,vwap_cross
BAJAJHLDNG,orb_vwap,MIS,2026-06-15 09:40:00,2026-06-15 12:15:00,10493,10426,2,-134,-156.17,-0.99,vwap_cross
JIOFIN,orb_vwap,MIS,2026-06-15 09:40:00,2026-06-15 10:20:00,243.1,242.22,123,-108.24,-139.88,-0.71,vwap_cross
MARUTI,orb_vwap,MIS,2026-06-15 09:40:00,2026-06-15 14:45:00,13766,13811,2,90,60.75,0.49,vwap_cross
ETERNAL,orb_vwap,MIS,2026-06-15 09:45:00,2026-06-15 14:10:00,254.35,253.95,117,-46.8,-78.33,-0.19,vwap_cross
M&M,orb_vwap,MIS,2026-06-15 09:45:00,2026-06-15 15:05:00,3124.0,3129.1,9,45.9,16.05,0.24,vwap_cross
OBEROIRLTY,orb_vwap,MIS,2026-06-15 09:45:00,2026-06-15 10:00:00,1659.5,1668.3,18,-158.4,-190.18,-1.19,vwap_cross
HUDCO,orb_vwap,MIS,2026-06-15 09:50:00,2026-06-15 14:50:00,210.23,210.78,142,78.1,46.39,0.43,vwap_cross
SWIGGY,orb_vwap,MIS,2026-06-15 09:50:00,2026-06-15 11:35:00,263.35,261.95,113,-158.2,-189.66,-0.41,vwap_cross
AUROPHARMA,orb_vwap,MIS,2026-06-15 09:55:00,2026-06-15 15:15:00,1447.5,1408.1,20,788.0,757.8,4.12,forced_close
HDFCBANK,orb_vwap,MIS,2026-06-15 09:55:00,2026-06-15 10:40:00,784.45,787.7,38,-123.5,-155.19,-0.98,vwap_cross
IRCTC,orb_vwap,MIS,2026-06-15 09:55:00,2026-06-15 15:15:00,524.25,518.1,57,350.55,319.09,3.75,forced_close
GAIL,orb_vwap,MIS,2026-06-15 10:00:00,2026-06-15 13:20:00,175.9,175.78,170,-20.4,-52.1,-0.08,vwap_cross
INDIGO,orb_vwap,MIS,2026-06-15 10:00:00,2026-06-15 11:25:00,4926.4,4902.0,6,-146.4,-177.65,-0.71,vwap_cross
AMBUJACEM,orb_vwap,MIS,2026-06-15 10:05:00,2026-06-15 10:55:00,429.3,431.8,69,-172.5,-204.02,-0.82,vwap_cross
