symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
ABB,bollinger_meanrev,MIS,2026-07-06 14:25:00,2026-07-06 15:15:00,7056.5,7081.5,4,-100.0,-130.0,-0.72,forced_close
KEI,bollinger_meanrev,MIS,2026-07-06 14:30:00,2026-07-06 15:15:00,5257.5,5252.714285714285,5,23.93,-3.93,0.19,trailing_stop
PAYTM,bollinger_meanrev,MIS,2026-07-06 14:35:00,2026-07-06 14:55:00,1211.7,1214.3714285714286,24,-64.11,-94.99,-0.57,trailing_stop
CIPLA,bollinger_meanrev,MIS,2026-07-06 14:40:00,2026-07-06 15:05:00,1468.0,1470.0857142857144,20,-41.71,-72.88,-0.59,trailing_stop
KPITTECH,bollinger_meanrev,MIS,2026-07-06 14:50:00,2026-07-06 15:15:00,561.25,557.6,53,193.45,162.03,1.36,forced_close
PIIND,bollinger_meanrev,MIS,2026-07-06 14:50:00,2026-07-06 15:00:00,2670.9,2677.0142857142855,11,-67.26,-98.46,-0.87,trailing_stop
PATANJALI,bollinger_meanrev,MIS,2026-07-06 14:55:00,2026-07-06 15:00:00,417.35,416.42857142857144,71,65.42,34.04,0.98,trailing_stop
APOLLOHOSP,bollinger_meanrev,MIS,2026-07-06 15:00:00,2026-07-06 15:15:00,8899.0,8891.5,3,22.5,-5.8,0.32,forced_close
NESTLEIND,bollinger_meanrev,MIS,2026-07-06 15:00:00,2026-07-06 15:10:00,1471.5,1474.5428571428572,20,-60.86,-92.11,-1.08,trailing_stop
VEDL,bollinger_meanrev,MIS,2026-07-06 15:00:00,2026-07-06 15:15:00,282.2,282.0,106,21.2,-10.51,0.35,forced_close
DIVISLAB,bollinger_meanrev,MIS,2026-07-06 15:05:00,2026-07-06 15:10:00,6845.5,6859.642857142857,4,-56.57,-85.64,-0.96,trailing_stop
INFY,bollinger_meanrev,MIS,2026-07-06 15:10:00,2026-07-06 15:15:00,1042.6,1043.857142857143,28,-35.2,-66.18,-0.37,trailing_stop
LGEINDIA,bollinger_meanrev,MIS,2026-07-06 15:15:00,2026-07-06 15:20:00,1560.0,1565.8,19,-110.2,-141.7,-0.69,forced_close
MARUTI,bollinger_meanrev,MIS,2026-07-06 15:15:00,2026-07-06 15:20:00,14457,14470,2,-26,-56.68,-0.47,forced_close
